"","state","county","percent_of_adults_with_less_than_a_high_school_diploma_2014_18","percent_of_adults_with_a_high_school_diploma_only_2014_18","percent_of_adults_completing_some_college_or_associates_degree_2014_18","percent_of_adults_with_a_bachelors_degree_or_higher_2014_18","state_fips_code","county_fips_code"
"241","AL","Lee",9.5,24.1,32.3,34.1,19,111
"242","AL","Lee",9.5,24.1,32.3,34.1,21,129
"243","AL","Lee",9.5,24.1,32.3,34.1,28,81
"244","AL","Lee",9.5,24.1,32.3,34.1,37,105
"245","AL","Lee",9.5,24.1,32.3,34.1,45,61
"246","AL","Lee",9.5,24.1,32.3,34.1,48,287
"247","AL","Lee",9.5,24.1,32.3,34.1,51,105
"248","AL","Limestone",15.7,30.3,28.5,25.5,1,83
"249","AL","Limestone",15.7,30.3,28.5,25.5,48,293
"250","AL","Lowndes",22.5,38.6,24.8,14.1,1,85
"251","AL","Lowndes",22.5,38.6,24.8,14.1,13,185
"252","AL","Lowndes",22.5,38.6,24.8,14.1,28,87
"253","AL","Macon",18.3,30.1,30.9,20.7,1,87
"254","AL","Macon",18.3,30.1,30.9,20.7,13,193
"255","AL","Macon",18.3,30.1,30.9,20.7,17,115
"256","AL","Macon",18.3,30.1,30.9,20.7,29,121
"257","AL","Macon",18.3,30.1,30.9,20.7,37,113
"258","AL","Macon",18.3,30.1,30.9,20.7,47,111
"259","AL","Madison",8.9,20.8,28.6,41.7,1,89
"260","AL","Madison",8.9,20.8,28.6,41.7,5,87
"261","AL","Madison",8.9,20.8,28.6,41.7,12,79
"262","AL","Madison",8.9,20.8,28.6,41.7,13,195
"263","AL","Madison",8.9,20.8,28.6,41.7,16,65
"264","AL","Madison",8.9,20.8,28.6,41.7,17,119
"265","AL","Madison",8.9,20.8,28.6,41.7,18,95
"266","AL","Madison",8.9,20.8,28.6,41.7,19,121
"267","AL","Madison",8.9,20.8,28.6,41.7,21,151
"268","AL","Madison",8.9,20.8,28.6,41.7,22,65
"269","AL","Madison",8.9,20.8,28.6,41.7,28,89
"270","AL","Madison",8.9,20.8,28.6,41.7,29,123
"271","AL","Madison",8.9,20.8,28.6,41.7,30,57
"272","AL","Madison",8.9,20.8,28.6,41.7,31,119
"273","AL","Madison",8.9,20.8,28.6,41.7,36,53
"274","AL","Madison",8.9,20.8,28.6,41.7,37,115
"275","AL","Madison",8.9,20.8,28.6,41.7,39,97
"276","AL","Madison",8.9,20.8,28.6,41.7,47,113
"277","AL","Madison",8.9,20.8,28.6,41.7,48,313
"278","AL","Madison",8.9,20.8,28.6,41.7,51,113
"279","AL","Marengo",16.2,39.8,28.6,15.4,1,91
"280","AL","Marion",20.3,34.8,31.7,13.1,1,93
"281","AL","Marion",20.3,34.8,31.7,13.1,5,89
"282","AL","Marion",20.3,34.8,31.7,13.1,12,83
"283","AL","Marion",20.3,34.8,31.7,13.1,13,197
"284","AL","Marion",20.3,34.8,31.7,13.1,17,121
"285","AL","Marion",20.3,34.8,31.7,13.1,18,97
"286","AL","Marion",20.3,34.8,31.7,13.1,19,125
"287","AL","Marion",20.3,34.8,31.7,13.1,20,115
"288","AL","Marion",20.3,34.8,31.7,13.1,21,155
"289","AL","Marion",20.3,34.8,31.7,13.1,28,91
"290","AL","Marion",20.3,34.8,31.7,13.1,29,127
"291","AL","Marion",20.3,34.8,31.7,13.1,39,101
"292","AL","Marion",20.3,34.8,31.7,13.1,41,47
"293","AL","Marion",20.3,34.8,31.7,13.1,45,67
"294","AL","Marion",20.3,34.8,31.7,13.1,47,115
"295","AL","Marion",20.3,34.8,31.7,13.1,48,315
"296","AL","Marion",20.3,34.8,31.7,13.1,54,49
"297","AL","Marshall",19.1,31.1,30.5,19.2,1,95
"298","AL","Marshall",19.1,31.1,30.5,19.2,17,123
"299","AL","Marshall",19.1,31.1,30.5,19.2,18,99
"300","AL","Marshall",19.1,31.1,30.5,19.2,19,127
"301","AL","Marshall",19.1,31.1,30.5,19.2,20,117
"302","AL","Marshall",19.1,31.1,30.5,19.2,21,157
"303","AL","Marshall",19.1,31.1,30.5,19.2,27,89
"304","AL","Marshall",19.1,31.1,30.5,19.2,28,93
"305","AL","Marshall",19.1,31.1,30.5,19.2,40,95
"306","AL","Marshall",19.1,31.1,30.5,19.2,46,91
"307","AL","Marshall",19.1,31.1,30.5,19.2,47,117
"308","AL","Marshall",19.1,31.1,30.5,19.2,54,51
"309","AL","Mobile",13.8,33.5,29.8,22.9,1,97
"310","AL","Monroe",16.3,46.1,23.5,14.1,1,99
"311","AL","Monroe",16.3,46.1,23.5,14.1,5,95
"312","AL","Monroe",16.3,46.1,23.5,14.1,12,87
"313","AL","Monroe",16.3,46.1,23.5,14.1,13,207
"314","AL","Monroe",16.3,46.1,23.5,14.1,17,133
"315","AL","Monroe",16.3,46.1,23.5,14.1,18,105
"316","AL","Monroe",16.3,46.1,23.5,14.1,19,135
"317","AL","Monroe",16.3,46.1,23.5,14.1,21,171
"318","AL","Monroe",16.3,46.1,23.5,14.1,26,115
"319","AL","Monroe",16.3,46.1,23.5,14.1,28,95
"320","AL","Monroe",16.3,46.1,23.5,14.1,29,137
"321","AL","Monroe",16.3,46.1,23.5,14.1,36,55
"322","AL","Monroe",16.3,46.1,23.5,14.1,39,111
"323","AL","Monroe",16.3,46.1,23.5,14.1,42,89
