"","county","State","estimate_percent_distribution_family_income_by_number_of_earners_no_earners","margin_of_error_percent_distribution_moe_family_income_by_number_of_earners_no_earners","estimate_median_income_dollars_family_income_by_number_of_earners_no_earners","margin_of_error_median_income_dollars_moe_family_income_by_number_of_earners_no_earners","state_fips_code","county_fips_code"
"5828","Mercer"," Kentucky",16.5,2.1,"34391","6162",54,55
"5829","Metcalfe"," Kentucky",28.1,4.1,"20074","6437",21,169
"5830","Monroe"," Kentucky",19.2,3.7,"21667","5570",1,99
"5831","Monroe"," Kentucky",19.2,3.7,"21667","5570",5,95
"5832","Monroe"," Kentucky",19.2,3.7,"21667","5570",12,87
"5833","Monroe"," Kentucky",19.2,3.7,"21667","5570",13,207
"5834","Monroe"," Kentucky",19.2,3.7,"21667","5570",17,133
"5835","Monroe"," Kentucky",19.2,3.7,"21667","5570",18,105
"5836","Monroe"," Kentucky",19.2,3.7,"21667","5570",19,135
"5837","Monroe"," Kentucky",19.2,3.7,"21667","5570",21,171
"5838","Monroe"," Kentucky",19.2,3.7,"21667","5570",26,115
"5839","Monroe"," Kentucky",19.2,3.7,"21667","5570",28,95
"5840","Monroe"," Kentucky",19.2,3.7,"21667","5570",29,137
"5841","Monroe"," Kentucky",19.2,3.7,"21667","5570",36,55
"5842","Monroe"," Kentucky",19.2,3.7,"21667","5570",39,111
"5843","Monroe"," Kentucky",19.2,3.7,"21667","5570",42,89
"5844","Monroe"," Kentucky",19.2,3.7,"21667","5570",47,123
"5845","Monroe"," Kentucky",19.2,3.7,"21667","5570",54,63
"5846","Monroe"," Kentucky",19.2,3.7,"21667","5570",55,81
"5847","Montgomery"," Kentucky",20.2,3.1,"24595","2996",1,101
"5848","Montgomery"," Kentucky",20.2,3.1,"24595","2996",5,97
"5849","Montgomery"," Kentucky",20.2,3.1,"24595","2996",13,209
"5850","Montgomery"," Kentucky",20.2,3.1,"24595","2996",17,135
"5851","Montgomery"," Kentucky",20.2,3.1,"24595","2996",18,107
"5852","Montgomery"," Kentucky",20.2,3.1,"24595","2996",19,137
"5853","Montgomery"," Kentucky",20.2,3.1,"24595","2996",20,125
"5854","Montgomery"," Kentucky",20.2,3.1,"24595","2996",21,173
"5855","Montgomery"," Kentucky",20.2,3.1,"24595","2996",24,31
"5856","Montgomery"," Kentucky",20.2,3.1,"24595","2996",28,97
"5857","Montgomery"," Kentucky",20.2,3.1,"24595","2996",29,139
"5858","Montgomery"," Kentucky",20.2,3.1,"24595","2996",36,57
"5859","Montgomery"," Kentucky",20.2,3.1,"24595","2996",37,123
"5860","Montgomery"," Kentucky",20.2,3.1,"24595","2996",39,113
"5861","Montgomery"," Kentucky",20.2,3.1,"24595","2996",42,91
"5862","Montgomery"," Kentucky",20.2,3.1,"24595","2996",47,125
"5863","Montgomery"," Kentucky",20.2,3.1,"24595","2996",48,339
"5864","Montgomery"," Kentucky",20.2,3.1,"24595","2996",51,121
"5865","Morgan"," Kentucky",36.4,4,"20502","1774",1,103
"5866","Morgan"," Kentucky",36.4,4,"20502","1774",8,87
"5867","Morgan"," Kentucky",36.4,4,"20502","1774",13,211
"5868","Morgan"," Kentucky",36.4,4,"20502","1774",17,137
"5869","Morgan"," Kentucky",36.4,4,"20502","1774",18,109
"5870","Morgan"," Kentucky",36.4,4,"20502","1774",21,175
"5871","Morgan"," Kentucky",36.4,4,"20502","1774",29,141
"5872","Morgan"," Kentucky",36.4,4,"20502","1774",39,115
"5873","Morgan"," Kentucky",36.4,4,"20502","1774",47,129
"5874","Morgan"," Kentucky",36.4,4,"20502","1774",49,29
"5875","Morgan"," Kentucky",36.4,4,"20502","1774",54,65
"5876","Muhlenberg"," Kentucky",24.3,2.6,"32726","3030",21,177
"5877","Nelson"," Kentucky",13.9,1.9,"37008","5710",21,179
"5878","Nelson"," Kentucky",13.9,1.9,"37008","5710",38,63
"5879","Nelson"," Kentucky",13.9,1.9,"37008","5710",51,125
"5880","Nicholas"," Kentucky",21.8,4.6,"24761","4210",21,181
"5881","Nicholas"," Kentucky",21.8,4.6,"24761","4210",54,67
"5882","Ohio"," Kentucky",21.9,2.5,"35448","7330",18,115
"5883","Ohio"," Kentucky",21.9,2.5,"35448","7330",21,183
"5884","Ohio"," Kentucky",21.9,2.5,"35448","7330",54,69
"5885","Oldham"," Kentucky",9.1,1.1,"63873","4633",21,185
"5886","Oldham"," Kentucky",9.1,1.1,"63873","4633",48,359
"5887","Owen"," Kentucky",19.5,5.1,"28025","7109",18,119
"5888","Owen"," Kentucky",19.5,5.1,"28025","7109",21,187
"5889","Owsley"," Kentucky",36.2,7,"14223","3235",21,189
"5890","Pendleton"," Kentucky",17.7,3.8,"28654","6354",21,191
"5891","Pendleton"," Kentucky",17.7,3.8,"28654","6354",54,71
"5892","Perry"," Kentucky",30.8,3.2,"20688","4275",1,105
"5893","Perry"," Kentucky",30.8,3.2,"20688","4275",5,105
"5894","Perry"," Kentucky",30.8,3.2,"20688","4275",17,145
"5895","Perry"," Kentucky",30.8,3.2,"20688","4275",18,123
"5896","Perry"," Kentucky",30.8,3.2,"20688","4275",21,193
"5897","Perry"," Kentucky",30.8,3.2,"20688","4275",28,111
"5898","Perry"," Kentucky",30.8,3.2,"20688","4275",29,157
"5899","Perry"," Kentucky",30.8,3.2,"20688","4275",39,127
"5900","Perry"," Kentucky",30.8,3.2,"20688","4275",42,99
"5901","Perry"," Kentucky",30.8,3.2,"20688","4275",47,135
"5902","Pike"," Kentucky",30.7,2.1,"22346","2143",1,109
"5903","Pike"," Kentucky",30.7,2.1,"22346","2143",5,109
"5904","Pike"," Kentucky",30.7,2.1,"22346","2143",13,231
"5905","Pike"," Kentucky",30.7,2.1,"22346","2143",17,149
"5906","Pike"," Kentucky",30.7,2.1,"22346","2143",18,125
"5907","Pike"," Kentucky",30.7,2.1,"22346","2143",21,195
"5908","Pike"," Kentucky",30.7,2.1,"22346","2143",28,113
"5909","Pike"," Kentucky",30.7,2.1,"22346","2143",29,163
"5910","Pike"," Kentucky",30.7,2.1,"22346","2143",39,131
"5911","Pike"," Kentucky",30.7,2.1,"22346","2143",42,103
"5912","Powell"," Kentucky",22.5,4.4,"21558","3366",21,197
"5913","Powell"," Kentucky",22.5,4.4,"21558","3366",30,77
"5914","Pulaski"," Kentucky",24.3,2,"29557","2342",5,119
"5915","Pulaski"," Kentucky",24.3,2,"29557","2342",13,235
"5916","Pulaski"," Kentucky",24.3,2,"29557","2342",17,153
"5917","Pulaski"," Kentucky",24.3,2,"29557","2342",18,131
"5918","Pulaski"," Kentucky",24.3,2,"29557","2342",21,199
"5919","Pulaski"," Kentucky",24.3,2,"29557","2342",29,169
"5920","Pulaski"," Kentucky",24.3,2,"29557","2342",51,155
"5921","Robertson"," Kentucky",24.3,7,"22000","4263",21,201
"5922","Robertson"," Kentucky",24.3,7,"22000","4263",47,147
"5923","Robertson"," Kentucky",24.3,7,"22000","4263",48,395
"5924","Rockcastle"," Kentucky",26.5,3.1,"24185","2407",21,203
"5925","Rowan"," Kentucky",25.5,3.8,"23644","3750",21,205
"5926","Rowan"," Kentucky",25.5,3.8,"23644","3750",37,159
"5927","Russell"," Kentucky",28.7,4,"26051","5117",1,113
"5928","Russell"," Kentucky",28.7,4,"26051","5117",20,167
"5929","Russell"," Kentucky",28.7,4,"26051","5117",21,207
"5930","Russell"," Kentucky",28.7,4,"26051","5117",51,167
"5931","Scott"," Kentucky",10.6,1.2,"45781","5561",5,127
"5932","Scott"," Kentucky",10.6,1.2,"45781","5561",17,171
"5933","Scott"," Kentucky",10.6,1.2,"45781","5561",18,143
"5934","Scott"," Kentucky",10.6,1.2,"45781","5561",19,163
"5935","Scott"," Kentucky",10.6,1.2,"45781","5561",20,171
"5936","Scott"," Kentucky",10.6,1.2,"45781","5561",21,209
"5937","Scott"," Kentucky",10.6,1.2,"45781","5561",27,139
"5938","Scott"," Kentucky",10.6,1.2,"45781","5561",28,123
"5939","Scott"," Kentucky",10.6,1.2,"45781","5561",29,201
"5940","Scott"," Kentucky",10.6,1.2,"45781","5561",47,151
"5941","Scott"," Kentucky",10.6,1.2,"45781","5561",51,169
"5942","Shelby"," Kentucky",11.2,1.4,"49821","8136",1,117
"5943","Shelby"," Kentucky",11.2,1.4,"49821","8136",17,173
"5944","Shelby"," Kentucky",11.2,1.4,"49821","8136",18,145
"5945","Shelby"," Kentucky",11.2,1.4,"49821","8136",19,165
"5946","Shelby"," Kentucky",11.2,1.4,"49821","8136",21,211
"5947","Shelby"," Kentucky",11.2,1.4,"49821","8136",29,205
"5948","Shelby"," Kentucky",11.2,1.4,"49821","8136",39,149
"5949","Shelby"," Kentucky",11.2,1.4,"49821","8136",47,157
"5950","Shelby"," Kentucky",11.2,1.4,"49821","8136",48,419
"5951","Simpson"," Kentucky",15.3,3.3,"30347","10478",21,213
"5952","Simpson"," Kentucky",15.3,3.3,"30347","10478",28,127
"5953","Spencer"," Kentucky",13.1,2.6,"42316","12884",18,147
"5954","Spencer"," Kentucky",13.1,2.6,"42316","12884",21,215
"5955","Taylor"," Kentucky",17.8,3.2,"29437","4158",12,123
"5956","Taylor"," Kentucky",17.8,3.2,"29437","4158",13,269
"5957","Taylor"," Kentucky",17.8,3.2,"29437","4158",19,173
"5958","Taylor"," Kentucky",17.8,3.2,"29437","4158",21,217
"5959","Taylor"," Kentucky",17.8,3.2,"29437","4158",48,441
"5960","Taylor"," Kentucky",17.8,3.2,"29437","4158",54,91
"5961","Taylor"," Kentucky",17.8,3.2,"29437","4158",55,119
"5962","Todd"," Kentucky",21.1,4.1,"27958","6526",21,219
"5963","Todd"," Kentucky",21.1,4.1,"27958","6526",27,153
"5964","Todd"," Kentucky",21.1,4.1,"27958","6526",46,121
"5965","Trigg"," Kentucky",25.5,3.4,"42285","15799",21,221
"5966","Trimble"," Kentucky",26.6,4.8,"27283","7452",21,223
"5967","Union"," Kentucky",20.1,3,"35000","9314",5,139
"5968","Union"," Kentucky",20.1,3,"35000","9314",12,125
"5969","Union"," Kentucky",20.1,3,"35000","9314",13,291
"5970","Union"," Kentucky",20.1,3,"35000","9314",17,181
"5971","Union"," Kentucky",20.1,3,"35000","9314",18,161
"5972","Union"," Kentucky",20.1,3,"35000","9314",19,175
"5973","Union"," Kentucky",20.1,3,"35000","9314",21,225
"5974","Union"," Kentucky",20.1,3,"35000","9314",22,111
"5975","Union"," Kentucky",20.1,3,"35000","9314",28,145
"5976","Union"," Kentucky",20.1,3,"35000","9314",34,39
"5977","Union"," Kentucky",20.1,3,"35000","9314",35,59
"5978","Union"," Kentucky",20.1,3,"35000","9314",37,179
"5979","Union"," Kentucky",20.1,3,"35000","9314",39,159
"5980","Union"," Kentucky",20.1,3,"35000","9314",41,61
"5981","Union"," Kentucky",20.1,3,"35000","9314",42,119
"5982","Union"," Kentucky",20.1,3,"35000","9314",45,87
"5983","Union"," Kentucky",20.1,3,"35000","9314",46,127
"5984","Union"," Kentucky",20.1,3,"35000","9314",47,173
"5985","Warren"," Kentucky",13.9,1.3,"36858","3336",13,301
"5986","Warren"," Kentucky",13.9,1.3,"36858","3336",17,187
"5987","Warren"," Kentucky",13.9,1.3,"36858","3336",18,171
"5988","Warren"," Kentucky",13.9,1.3,"36858","3336",19,181
"5989","Warren"," Kentucky",13.9,1.3,"36858","3336",21,227
"5990","Warren"," Kentucky",13.9,1.3,"36858","3336",28,149
"5991","Warren"," Kentucky",13.9,1.3,"36858","3336",29,219
"5992","Warren"," Kentucky",13.9,1.3,"36858","3336",34,41
"5993","Warren"," Kentucky",13.9,1.3,"36858","3336",36,113
"5994","Warren"," Kentucky",13.9,1.3,"36858","3336",37,185
"5995","Warren"," Kentucky",13.9,1.3,"36858","3336",39,165
"5996","Warren"," Kentucky",13.9,1.3,"36858","3336",42,123
"5997","Warren"," Kentucky",13.9,1.3,"36858","3336",47,177
"5998","Warren"," Kentucky",13.9,1.3,"36858","3336",51,187
"5999","Washington"," Kentucky",17.8,3,"25792","4151",1,129
"6000","Washington"," Kentucky",17.8,3,"25792","4151",5,143
"6001","Washington"," Kentucky",17.8,3,"25792","4151",8,121
"6002","Washington"," Kentucky",17.8,3,"25792","4151",12,133
"6003","Washington"," Kentucky",17.8,3,"25792","4151",13,303
"6004","Washington"," Kentucky",17.8,3,"25792","4151",16,87
"6005","Washington"," Kentucky",17.8,3,"25792","4151",17,189
"6006","Washington"," Kentucky",17.8,3,"25792","4151",18,175
"6007","Washington"," Kentucky",17.8,3,"25792","4151",19,183
"6008","Washington"," Kentucky",17.8,3,"25792","4151",20,201
"6009","Washington"," Kentucky",17.8,3,"25792","4151",21,229
"6010","Washington"," Kentucky",17.8,3,"25792","4151",22,117
"6011","Washington"," Kentucky",17.8,3,"25792","4151",23,29
"6012","Washington"," Kentucky",17.8,3,"25792","4151",24,43
"6013","Washington"," Kentucky",17.8,3,"25792","4151",27,163
"6014","Washington"," Kentucky",17.8,3,"25792","4151",28,151
"6015","Washington"," Kentucky",17.8,3,"25792","4151",29,221
"6016","Washington"," Kentucky",17.8,3,"25792","4151",31,177
"6017","Washington"," Kentucky",17.8,3,"25792","4151",36,115
"6018","Washington"," Kentucky",17.8,3,"25792","4151",37,187
"6019","Washington"," Kentucky",17.8,3,"25792","4151",39,167
"6020","Washington"," Kentucky",17.8,3,"25792","4151",40,147
"6021","Washington"," Kentucky",17.8,3,"25792","4151",41,67
"6022","Washington"," Kentucky",17.8,3,"25792","4151",42,125
"6023","Washington"," Kentucky",17.8,3,"25792","4151",44,9
"6024","Washington"," Kentucky",17.8,3,"25792","4151",47,179
"6025","Washington"," Kentucky",17.8,3,"25792","4151",48,477
"6026","Washington"," Kentucky",17.8,3,"25792","4151",49,53
"6027","Washington"," Kentucky",17.8,3,"25792","4151",50,23
"6028","Washington"," Kentucky",17.8,3,"25792","4151",51,191
"6029","Washington"," Kentucky",17.8,3,"25792","4151",55,131
"6030","Wayne"," Kentucky",30.2,4,"22233","7151",13,305
"6031","Wayne"," Kentucky",30.2,4,"22233","7151",17,191
"6032","Wayne"," Kentucky",30.2,4,"22233","7151",18,177
"6033","Wayne"," Kentucky",30.2,4,"22233","7151",19,185
"6034","Wayne"," Kentucky",30.2,4,"22233","7151",21,231
"6035","Wayne"," Kentucky",30.2,4,"22233","7151",26,163
"6036","Wayne"," Kentucky",30.2,4,"22233","7151",28,153
"6037","Wayne"," Kentucky",30.2,4,"22233","7151",29,223
"6038","Wayne"," Kentucky",30.2,4,"22233","7151",31,179
"6039","Wayne"," Kentucky",30.2,4,"22233","7151",36,117
"6040","Wayne"," Kentucky",30.2,4,"22233","7151",37,191
"6041","Wayne"," Kentucky",30.2,4,"22233","7151",39,169
"6042","Wayne"," Kentucky",30.2,4,"22233","7151",42,127
"6043","Wayne"," Kentucky",30.2,4,"22233","7151",47,181
"6044","Wayne"," Kentucky",30.2,4,"22233","7151",49,55
"6045","Wayne"," Kentucky",30.2,4,"22233","7151",54,99
"6046","Webster"," Kentucky",23.7,3.5,"26823","5203",13,307
"6047","Webster"," Kentucky",23.7,3.5,"26823","5203",19,187
"6048","Webster"," Kentucky",23.7,3.5,"26823","5203",21,233
"6049","Webster"," Kentucky",23.7,3.5,"26823","5203",22,119
"6050","Webster"," Kentucky",23.7,3.5,"26823","5203",28,155
"6051","Webster"," Kentucky",23.7,3.5,"26823","5203",29,225
"6052","Webster"," Kentucky",23.7,3.5,"26823","5203",31,181
"6053","Webster"," Kentucky",23.7,3.5,"26823","5203",54,101
"6054","Whitley"," Kentucky",28.6,2.9,"24530","3396",18,183
"6055","Whitley"," Kentucky",28.6,2.9,"24530","3396",21,235
"6056","Wolfe"," Kentucky",46.7,8.4,"17583","5998",21,237
"6057","Woodford"," Kentucky",14.7,1.8,"40893","7850",17,203
"6058","Woodford"," Kentucky",14.7,1.8,"40893","7850",21,239
"6059","East"," Louisiana",33.3,6.1,"9527","4897",22,33
"6060","East"," Louisiana",33.3,6.1,"9527","4897",22,35
"6061","East"," Louisiana",33.3,6.1,"9527","4897",22,37
"6062","Pointe"," Louisiana",17.3,3.3,"25704","3402",22,77
"6063","St."," Louisiana",14.4,1.7,"37694","5538",NA,NA
"6064","West"," Louisiana",24.3,4.1,"23472","4173",22,121
"6065","West"," Louisiana",24.3,4.1,"23472","4173",22,123
"6066","West"," Louisiana",24.3,4.1,"23472","4173",22,125
"6067","Androscoggin"," Maine",14.7,1.4,"35818","1652",23,1
"6068","Aroostook"," Maine",22.3,1.2,"29378","1918",23,3
"6069","Cumberland"," Maine",12.4,0.7,"45424","4912",17,35
"6070","Cumberland"," Maine",12.4,0.7,"45424","4912",21,57
"6071","Cumberland"," Maine",12.4,0.7,"45424","4912",23,5
"6072","Cumberland"," Maine",12.4,0.7,"45424","4912",34,11
"6073","Cumberland"," Maine",12.4,0.7,"45424","4912",37,51
"6074","Cumberland"," Maine",12.4,0.7,"45424","4912",42,41
"6075","Cumberland"," Maine",12.4,0.7,"45424","4912",47,35
"6076","Cumberland"," Maine",12.4,0.7,"45424","4912",51,49
"6077","Franklin"," Maine",19.4,2.1,"38341","5407",1,59
"6078","Franklin"," Maine",19.4,2.1,"38341","5407",5,47
"6079","Franklin"," Maine",19.4,2.1,"38341","5407",12,37
"6080","Franklin"," Maine",19.4,2.1,"38341","5407",13,119
"6081","Franklin"," Maine",19.4,2.1,"38341","5407",16,41
"6082","Franklin"," Maine",19.4,2.1,"38341","5407",17,55
"6083","Franklin"," Maine",19.4,2.1,"38341","5407",18,47
"6084","Franklin"," Maine",19.4,2.1,"38341","5407",19,69
"6085","Franklin"," Maine",19.4,2.1,"38341","5407",20,59
"6086","Franklin"," Maine",19.4,2.1,"38341","5407",21,73
"6087","Franklin"," Maine",19.4,2.1,"38341","5407",22,41
"6088","Franklin"," Maine",19.4,2.1,"38341","5407",23,7
"6089","Franklin"," Maine",19.4,2.1,"38341","5407",25,11
"6090","Franklin"," Maine",19.4,2.1,"38341","5407",28,37
"6091","Franklin"," Maine",19.4,2.1,"38341","5407",29,71
"6092","Franklin"," Maine",19.4,2.1,"38341","5407",31,61
"6093","Franklin"," Maine",19.4,2.1,"38341","5407",36,33
"6094","Franklin"," Maine",19.4,2.1,"38341","5407",37,69
"6095","Franklin"," Maine",19.4,2.1,"38341","5407",39,49
"6096","Franklin"," Maine",19.4,2.1,"38341","5407",42,55
"6097","Franklin"," Maine",19.4,2.1,"38341","5407",47,51
"6098","Franklin"," Maine",19.4,2.1,"38341","5407",48,159
"6099","Franklin"," Maine",19.4,2.1,"38341","5407",50,11
"6100","Franklin"," Maine",19.4,2.1,"38341","5407",51,67
"6101","Franklin"," Maine",19.4,2.1,"38341","5407",51,620
"6102","Franklin"," Maine",19.4,2.1,"38341","5407",53,21
"6103","Hancock"," Maine",16.6,1.2,"41913","4115",13,141
"6104","Hancock"," Maine",16.6,1.2,"41913","4115",17,67
"6105","Hancock"," Maine",16.6,1.2,"41913","4115",18,59
"6106","Hancock"," Maine",16.6,1.2,"41913","4115",19,81
"6107","Hancock"," Maine",16.6,1.2,"41913","4115",21,91
"6108","Hancock"," Maine",16.6,1.2,"41913","4115",23,9
"6109","Hancock"," Maine",16.6,1.2,"41913","4115",28,45
"6110","Hancock"," Maine",16.6,1.2,"41913","4115",39,63
"6111","Hancock"," Maine",16.6,1.2,"41913","4115",47,67
"6112","Hancock"," Maine",16.6,1.2,"41913","4115",54,29
"6113","Kennebec"," Maine",17.3,1.2,"33727","2752",23,11
"6114","Knox"," Maine",14.4,1.7,"41813","4377",17,95
"6115","Knox"," Maine",14.4,1.7,"41813","4377",18,83
"6116","Knox"," Maine",14.4,1.7,"41813","4377",21,121
"6117","Knox"," Maine",14.4,1.7,"41813","4377",23,13
"6118","Knox"," Maine",14.4,1.7,"41813","4377",29,103
"6119","Knox"," Maine",14.4,1.7,"41813","4377",31,107
"6120","Knox"," Maine",14.4,1.7,"41813","4377",39,83
"6121","Knox"," Maine",14.4,1.7,"41813","4377",47,93
"6122","Knox"," Maine",14.4,1.7,"41813","4377",48,275
"6123","Lincoln"," Maine",21.3,2.1,"49549","7577",5,79
"6124","Lincoln"," Maine",21.3,2.1,"49549","7577",8,73
"6125","Lincoln"," Maine",21.3,2.1,"49549","7577",13,181
"6126","Lincoln"," Maine",21.3,2.1,"49549","7577",16,63
"6127","Lincoln"," Maine",21.3,2.1,"49549","7577",20,105
"6128","Lincoln"," Maine",21.3,2.1,"49549","7577",21,137
"6129","Lincoln"," Maine",21.3,2.1,"49549","7577",22,61
"6130","Lincoln"," Maine",21.3,2.1,"49549","7577",23,15
"6131","Lincoln"," Maine",21.3,2.1,"49549","7577",27,81
"6132","Lincoln"," Maine",21.3,2.1,"49549","7577",28,85
"6133","Lincoln"," Maine",21.3,2.1,"49549","7577",29,113
"6134","Lincoln"," Maine",21.3,2.1,"49549","7577",30,53
"6135","Lincoln"," Maine",21.3,2.1,"49549","7577",31,111
"6136","Lincoln"," Maine",21.3,2.1,"49549","7577",32,17
"6137","Lincoln"," Maine",21.3,2.1,"49549","7577",35,27
"6138","Lincoln"," Maine",21.3,2.1,"49549","7577",37,109
"6139","Lincoln"," Maine",21.3,2.1,"49549","7577",40,81
"6140","Lincoln"," Maine",21.3,2.1,"49549","7577",41,41
"6141","Lincoln"," Maine",21.3,2.1,"49549","7577",46,83
"6142","Lincoln"," Maine",21.3,2.1,"49549","7577",47,103
"6143","Lincoln"," Maine",21.3,2.1,"49549","7577",53,43
"6144","Lincoln"," Maine",21.3,2.1,"49549","7577",54,43
"6145","Lincoln"," Maine",21.3,2.1,"49549","7577",55,69
"6146","Lincoln"," Maine",21.3,2.1,"49549","7577",56,23
"6147","Oxford"," Maine",19.2,1.6,"33891","2418",23,17
"6148","Penobscot"," Maine",17.9,1.2,"33247","1538",23,19
"6149","Piscataquis"," Maine",27.4,2.6,"35137","3733",23,21
"6150","Sagadahoc"," Maine",18.3,1.6,"45465","6009",23,23
"6151","Somerset"," Maine",20,1.9,"28152","1862",23,25
"6152","Somerset"," Maine",20,1.9,"28152","1862",24,39
"6153","Somerset"," Maine",20,1.9,"28152","1862",34,35
"6154","Somerset"," Maine",20,1.9,"28152","1862",42,111
"6155","Waldo"," Maine",17.9,1.5,"37056","6320",23,27
"6156","Washington"," Maine",23.2,1.6,"35158","2180",1,129
"6157","Washington"," Maine",23.2,1.6,"35158","2180",5,143
"6158","Washington"," Maine",23.2,1.6,"35158","2180",8,121
"6159","Washington"," Maine",23.2,1.6,"35158","2180",12,133
"6160","Washington"," Maine",23.2,1.6,"35158","2180",13,303
"6161","Washington"," Maine",23.2,1.6,"35158","2180",16,87
"6162","Washington"," Maine",23.2,1.6,"35158","2180",17,189
"6163","Washington"," Maine",23.2,1.6,"35158","2180",18,175
"6164","Washington"," Maine",23.2,1.6,"35158","2180",19,183
"6165","Washington"," Maine",23.2,1.6,"35158","2180",20,201
"6166","Washington"," Maine",23.2,1.6,"35158","2180",21,229
"6167","Washington"," Maine",23.2,1.6,"35158","2180",22,117
"6168","Washington"," Maine",23.2,1.6,"35158","2180",23,29
"6169","Washington"," Maine",23.2,1.6,"35158","2180",24,43
"6170","Washington"," Maine",23.2,1.6,"35158","2180",27,163
"6171","Washington"," Maine",23.2,1.6,"35158","2180",28,151
"6172","Washington"," Maine",23.2,1.6,"35158","2180",29,221
"6173","Washington"," Maine",23.2,1.6,"35158","2180",31,177
"6174","Washington"," Maine",23.2,1.6,"35158","2180",36,115
"6175","Washington"," Maine",23.2,1.6,"35158","2180",37,187
"6176","Washington"," Maine",23.2,1.6,"35158","2180",39,167
"6177","Washington"," Maine",23.2,1.6,"35158","2180",40,147
"6178","Washington"," Maine",23.2,1.6,"35158","2180",41,67
"6179","Washington"," Maine",23.2,1.6,"35158","2180",42,125
"6180","Washington"," Maine",23.2,1.6,"35158","2180",44,9
"6181","Washington"," Maine",23.2,1.6,"35158","2180",47,179
"6182","Washington"," Maine",23.2,1.6,"35158","2180",48,477
"6183","Washington"," Maine",23.2,1.6,"35158","2180",49,53
"6184","Washington"," Maine",23.2,1.6,"35158","2180",50,23
"6185","Washington"," Maine",23.2,1.6,"35158","2180",51,191
"6186","Washington"," Maine",23.2,1.6,"35158","2180",55,131
"6187","York"," Maine",14.9,1,"41790","3009",23,31
"6188","York"," Maine",14.9,1,"41790","3009",31,185
"6189","York"," Maine",14.9,1,"41790","3009",42,133
"6190","York"," Maine",14.9,1,"41790","3009",45,91
"6191","York"," Maine",14.9,1,"41790","3009",51,199
"6192","Allegany"," Maryland",22.2,1.6,"37995","1775",24,1
"6193","Allegany"," Maryland",22.2,1.6,"37995","1775",36,3
"6194","Anne Arundel"," Maryland",10.1,0.4,"58324","2878",NA,NA
"6195","Baltimore"," Maryland",11.8,0.4,"45440","1370",24,5
"6196","Baltimore"," Maryland",11.8,0.4,"45440","1370",24,510
"6197","Calvert"," Maryland",12.8,1.2,"63949","7419",24,9
"6198","Caroline"," Maryland",12.7,1.4,"30779","2520",24,11
"6199","Caroline"," Maryland",12.7,1.4,"30779","2520",51,33
"6200","Carroll"," Maryland",11.7,0.6,"54826","2995",5,15
"6201","Carroll"," Maryland",11.7,0.6,"54826","2995",13,45
"6202","Carroll"," Maryland",11.7,0.6,"54826","2995",17,15
"6203","Carroll"," Maryland",11.7,0.6,"54826","2995",18,15
"6204","Carroll"," Maryland",11.7,0.6,"54826","2995",19,27
"6205","Carroll"," Maryland",11.7,0.6,"54826","2995",21,41
"6206","Carroll"," Maryland",11.7,0.6,"54826","2995",24,13
"6207","Carroll"," Maryland",11.7,0.6,"54826","2995",28,15
"6208","Carroll"," Maryland",11.7,0.6,"54826","2995",29,33
"6209","Carroll"," Maryland",11.7,0.6,"54826","2995",33,3
"6210","Carroll"," Maryland",11.7,0.6,"54826","2995",39,19
"6211","Carroll"," Maryland",11.7,0.6,"54826","2995",47,17
"6212","Carroll"," Maryland",11.7,0.6,"54826","2995",51,35
"6213","Cecil"," Maryland",13.9,1.3,"40374","3010",24,15
"6214","Charles"," Maryland",10.5,0.8,"54286","8944",24,17
"6215","Charles"," Maryland",10.5,0.8,"54286","8944",46,23
"6216","Charles"," Maryland",10.5,0.8,"54286","8944",51,36
"6217","Dorchester"," Maryland",17.2,2,"38438","9313",24,19
"6218","Dorchester"," Maryland",17.2,2,"38438","9313",45,35
"6219","Frederick"," Maryland",9.6,0.7,"55342","3464",24,21
"6220","Frederick"," Maryland",9.6,0.7,"55342","3464",51,69
"6221","Garrett"," Maryland",16.9,2.1,"34560","2244",24,23
"6222","Harford"," Maryland",12.2,0.6,"46734","2775",24,25
"6223","Howard"," Maryland",7.8,0.5,"71086","5148",5,61
"6224","Howard"," Maryland",7.8,0.5,"71086","5148",18,67
"6225","Howard"," Maryland",7.8,0.5,"71086","5148",19,89
"6226","Howard"," Maryland",7.8,0.5,"71086","5148",24,27
"6227","Howard"," Maryland",7.8,0.5,"71086","5148",29,89
"6228","Howard"," Maryland",7.8,0.5,"71086","5148",31,93
"6229","Howard"," Maryland",7.8,0.5,"71086","5148",48,227
"6230","Kent"," Maryland",19.3,2.5,"47057","6975",10,1
"6231","Kent"," Maryland",19.3,2.5,"47057","6975",24,29
"6232","Kent"," Maryland",19.3,2.5,"47057","6975",26,81
"6233","Kent"," Maryland",19.3,2.5,"47057","6975",44,3
"6234","Kent"," Maryland",19.3,2.5,"47057","6975",48,263
"6235","Montgomery"," Maryland",8.4,0.3,"75792","5500",1,101
"6236","Montgomery"," Maryland",8.4,0.3,"75792","5500",5,97
"6237","Montgomery"," Maryland",8.4,0.3,"75792","5500",13,209
"6238","Montgomery"," Maryland",8.4,0.3,"75792","5500",17,135
"6239","Montgomery"," Maryland",8.4,0.3,"75792","5500",18,107
"6240","Montgomery"," Maryland",8.4,0.3,"75792","5500",19,137
