"","state","county","percent_of_adults_with_less_than_a_high_school_diploma_2014_18","percent_of_adults_with_a_high_school_diploma_only_2014_18","percent_of_adults_completing_some_college_or_associates_degree_2014_18","percent_of_adults_with_a_bachelors_degree_or_higher_2014_18"
"1701","NE","Burt County",9.6,37,35.3,18.1
"1702","NE","Butler County",7.9,37.7,34.6,19.9
"1703","NE","Cass County",5.1,29.9,37.6,27.4
"1704","NE","Cedar County",7.4,35.2,37.9,19.4
"1705","NE","Chase County",11.4,25.2,42.6,20.8
"1706","NE","Cherry County",8.7,32.7,37.4,21.2
"1707","NE","Cheyenne County",6.7,28.3,38.8,26.2
"1708","NE","Clay County",9.3,32.7,39.6,18.4
"1709","NE","Colfax County",29.8,29.6,26.1,14.5
"1710","NE","Cuming County",12.6,36.1,28,23.2
"1711","NE","Custer County",7.1,31.7,40.2,20.9
"1712","NE","Dakota County",25.4,36.4,25.6,12.5
"1713","NE","Dawes County",4.7,23.9,34.4,37
"1714","NE","Dawson County",22.1,32,30.2,15.6
"1715","NE","Deuel County",10.2,33.4,40.6,15.8
"1716","NE","Dixon County",11.4,36.2,31.8,20.5
"1717","NE","Dodge County",10.7,36.3,34.5,18.6
"1718","NE","Douglas County",10,21.3,29.8,38.9
"1719","NE","Dundy County",18.1,22.3,40.2,19.4
"1720","NE","Fillmore County",8.1,36.1,35.9,19.9
"1721","NE","Franklin County",7.3,35.5,40.6,16.6
"1722","NE","Frontier County",4.6,30.5,44.9,20
"1723","NE","Furnas County",11.4,33.2,36.4,18.9
"1724","NE","Gage County",10.3,35.2,34.3,20.2
"1725","NE","Garden County",6.8,31.3,37,24.9
"1726","NE","Garfield County",3.9,30.5,43.4,22.2
"1727","NE","Gosper County",4.3,35.1,34.2,26.4
"1728","NE","Grant County",3.2,37.1,34.5,25.2
"1729","NE","Greeley County",6.3,33.8,42.6,17.4
"1730","NE","Hall County",15.3,31,32.7,20.9
"1731","NE","Hamilton County",5.3,30.7,37.9,26
"1732","NE","Harlan County",9.9,29.1,39.6,21.4
"1733","NE","Hayes County",11.8,26.6,43.5,18.1
"1734","NE","Hitchcock County",7.3,37.5,36.6,18.6
"1735","NE","Holt County",7.3,33,38.5,21.2
"1736","NE","Hooker County",6.5,34.6,35,23.9
"1737","NE","Howard County",7.2,37.4,35,20.5
"1738","NE","Jefferson County",8.8,39.9,36,15.3
"1739","NE","Johnson County",13.8,42.2,28,16
"1740","NE","Kearney County",3.9,34.2,39.3,22.7
"1741","NE","Keith County",8.8,31.8,38.7,20.7
"1742","NE","Keya Paha County",4.7,35.6,36.8,22.9
"1743","NE","Kimball County",11.5,33.8,36.6,18.2
"1744","NE","Knox County",8.8,33.3,36.2,21.7
"1745","NE","Lancaster County",6.5,21.9,32.8,38.8
"1746","NE","Lincoln County",6.8,30,41.1,22.1
"1747","NE","Logan County",7.4,28,45,19.7
"1748","NE","Loup County",2.2,35.4,39.3,23.2
"1749","NE","McPherson County",10.9,24.9,39.3,24.9
"1750","NE","Madison County",9.9,30.7,37,22.4
"1751","NE","Merrick County",6,33,43.6,17.4
"1752","NE","Morrill County",13.4,32.9,35.6,18.1
"1753","NE","Nance County",8.5,36.5,35.1,19.8
"1754","NE","Nemaha County",7,31.4,33.5,28.1
"1755","NE","Nuckolls County",7.6,38.6,34.7,19.1
"1756","NE","Otoe County",8.5,36.4,33.4,21.8
"1757","NE","Pawnee County",11.8,40.1,30.6,17.5
"1758","NE","Perkins County",10.7,25.3,38.2,25.8
"1759","NE","Phelps County",6.3,31.9,35.8,25.9
"1760","NE","Pierce County",5.2,34.4,38.1,22.3
"1761","NE","Platte County",11.3,30.7,35.8,22.2
"1762","NE","Polk County",8,33,37.9,21.1
"1763","NE","Red Willow County",7.9,31.7,41.6,18.8
"1764","NE","Richardson County",6.8,35.7,39.3,18.2
"1765","NE","Rock County",5.1,38.9,35.1,20.9
"1766","NE","Saline County",15.7,35.2,34.7,14.3
"1767","NE","Sarpy County",4.8,21.1,34.1,40.1
"1768","NE","Saunders County",7.2,29.8,37.6,25.4
"1769","NE","Scotts Bluff County",12.5,28.9,36.3,22.4
"1770","NE","Seward County",5.9,26.9,38,29.2
"1771","NE","Sheridan County",9.6,34.3,32.5,23.6
"1772","NE","Sherman County",7,38.8,36,18.2
"1773","NE","Sioux County",6.7,31,35.7,26.6
"1774","NE","Stanton County",7,32.3,44,16.6
"1775","NE","Thayer County",7.3,35.2,37.6,19.8
"1776","NE","Thomas County",7.5,29.3,39.2,24
"1777","NE","Thurston County",12.4,32.9,38,16.7
"1778","NE","Valley County",7.5,36.3,33.4,22.8
"1779","NE","Washington County",4.3,30.9,34.5,30.3
