"","state","county","percent_of_adults_with_less_than_a_high_school_diploma_2014_18","percent_of_adults_with_a_high_school_diploma_only_2014_18","percent_of_adults_completing_some_college_or_associates_degree_2014_18","percent_of_adults_with_a_bachelors_degree_or_higher_2014_18"
"110","AZ","Gila County",14.7,28.6,38.2,18.5
"111","AZ","Graham County",14.4,29.9,40.5,15.3
"112","AZ","Greenlee County",11,36.2,40.9,11.9
"113","AZ","La Paz County",22.7,33,32,12.4
"114","AZ","Maricopa County",12.6,22.6,32.8,32
"115","AZ","Mohave County",14.7,34.8,37.6,12.9
"116","AZ","Navajo County",17.2,30.1,36.9,15.8
"117","AZ","Pima County",11.7,22.5,34,31.9
"118","AZ","Pinal County",14.6,29.7,36.8,19
"119","AZ","Santa Cruz County",24.4,27.2,27.4,21
"120","AZ","Yavapai County",9.7,25.7,39.4,25.2
"121","AZ","Yuma County",27.9,25.9,31.4,14.8
"122","AR","Arkansas",13.8,34.1,29.5,22.6
"123","AR","Arkansas County",17,38.3,29.2,15.5
"124","AR","Ashley County",17.7,39.9,29.2,13.2
"125","AR","Baxter County",11.8,35,34.8,18.3
"126","AR","Benton County",11.9,29.1,26.5,32.4
"127","AR","Boone County",13,33.8,37.2,16
"128","AR","Bradley County",18,41.6,25.1,15.2
"129","AR","Calhoun County",17.3,43.6,27,12.1
"130","AR","Carroll County",14.2,34.6,30.8,20.4
"131","AR","Chicot County",19.3,39.2,26.7,14.7
"132","AR","Clark County",10.8,30.5,31,27.6
"133","AR","Clay County",19.3,41.2,27.8,11.6
"134","AR","Cleburne County",15.3,40.7,29.1,14.9
"135","AR","Cleveland County",11.4,47.2,25.2,16.2
"136","AR","Columbia County",15,39.9,24.5,20.6
"137","AR","Conway County",14.1,43.4,26.5,16
"138","AR","Craighead County",10.9,34.1,28.7,26.3
"139","AR","Crawford County",14.8,37.4,32.4,15.3
"140","AR","Crittenden County",17.6,35,29.4,18
"141","AR","Cross County",17.2,41.5,25.8,15.4
"142","AR","Dallas County",16.4,43.4,26.6,13.7
"143","AR","Desha County",21.2,44,22.4,12.4
"144","AR","Drew County",14.9,35.4,29.1,20.6
"145","AR","Faulkner County",8.7,30.5,30.7,30
"146","AR","Franklin County",17.4,40.1,30.7,11.8
"147","AR","Fulton County",15.4,37.2,35.6,11.8
"148","AR","Garland County",11.6,31.5,36.7,20.2
"149","AR","Grant County",8.5,44.2,29,18.3
"150","AR","Greene County",12.7,44.2,27.2,15.9
"151","AR","Hempstead County",19,36.9,28.9,15.1
"152","AR","Hot Spring County",14.6,39.6,31.1,14.7
"153","AR","Howard County",17.1,37.3,30.8,14.7
"154","AR","Independence County",14.2,35.8,31,18.9
"155","AR","Izard County",14.9,37.8,33.5,13.8
"156","AR","Jackson County",21.1,41.1,27.7,10.2
"157","AR","Jefferson County",14,38.5,29.7,17.8
"158","AR","Johnson County",20.6,41.2,22.3,15.8
"159","AR","Lafayette County",18.3,41.3,24,16.5
"160","AR","Lawrence County",14.5,40.4,30.1,15
"161","AR","Lee County",27,40.8,23.3,8.9
"162","AR","Lincoln County",18.7,50.3,22.1,8.9
"163","AR","Little River County",11.8,42.7,34,11.4
"164","AR","Logan County",14.9,45,28,12.1
"165","AR","Lonoke County",11.3,35.1,33.3,20.3
"166","AR","Madison County",20.3,45.6,21.6,12.5
"167","AR","Marion County",13.1,36.8,32.8,17.2
"168","AR","Miller County",14,35.9,33.5,16.6
"169","AR","Mississippi County",19.3,38.6,29.3,12.8
"170","AR","Monroe County",22.9,43,23.6,10.5
"171","AR","Montgomery County",21.8,36.5,30.9,10.8
"172","AR","Nevada County",13.2,43.8,27.6,15.4
"173","AR","Newton County",17.4,40.8,25.6,16.2
"174","AR","Ouachita County",14.4,41.6,28,16
"175","AR","Perry County",16.6,40.7,30.8,11.9
"176","AR","Phillips County",21.6,30.1,34.3,14
"177","AR","Pike County",15.2,38.9,31.2,14.7
"178","AR","Poinsett County",19.4,44.3,26.3,10.1
"179","AR","Polk County",15.4,37.4,34,13.3
"180","AR","Pope County",15.2,35.5,27.4,22
"181","AR","Prairie County",17.8,40,27.1,15.1
"182","AR","Pulaski County",9.6,26.2,30.2,34.1
"183","AR","Randolph County",17.3,35.6,33.1,14
"184","AR","St. Francis County",19.4,38.8,31.2,10.6
"185","AR","Saline County",9.6,31.5,32.9,26.1
"186","AR","Scott County",21.1,43,26.8,9.1
"187","AR","Searcy County",15.5,45.1,26.9,12.5
"188","AR","Sebastian County",16.8,32,31.4,19.7
"189","AR","Sevier County",25.7,36.1,26.7,11.5
"190","AR","Sharp County",16.4,42,30.3,11.3
"191","AR","Stone County",20.4,36.3,30.5,12.8
"192","AR","Union County",15.2,35.2,28.7,20.8
"193","AR","Van Buren County",14.2,43.9,27.8,14.1
"194","AR","Washington County",15,26.3,25.8,32.8
"195","AR","White County",14.6,38.4,25.6,21.4
"196","AR","Woodruff County",20,42.5,25.5,12
"197","AR","Yell County",19.9,40.9,25.7,13.5
"198","CA","California",17.1,20.6,29.1,33.3
"199","CA","Alameda County",12,17.6,24.4,46
"200","CA","Alpine County",11.1,28.7,30.2,30
"201","CA","Amador County",9.7,28.7,41.3,20.3
"202","CA","Butte County",10.7,22.7,40,26.5
"203","CA","Calaveras County",9.6,27.6,44,18.7
"204","CA","Colusa County",30.6,23.7,30.3,15.4
"205","CA","Contra Costa County",10.6,17.6,30.1,41.7
"206","CA","Del Norte County",19,31.5,35.2,14.3
"207","CA","El Dorado County",6.9,21.2,38.2,33.7
"208","CA","Fresno County",24.7,22.9,31.7,20.7
"209","CA","Glenn County",24.7,28.2,33.2,13.9
"210","CA","Humboldt County",9.7,23.5,37.1,29.8
"211","CA","Imperial County",31,24.5,30,14.5
"212","CA","Inyo County",11.2,29.3,33.5,26.1
"213","CA","Kern County",26.2,27.7,30,16.1
"214","CA","Kings County",26.3,25.5,34.7,13.5
"215","CA","Lake County",14.8,30.1,39.3,15.8
"216","CA","Lassen County",17.2,33.2,37.5,12
"217","CA","Los Angeles County",21.3,20.7,26.2,31.8
"218","CA","Madera County",28.1,25,32.4,14.5
"219","CA","Marin County",6.8,10.9,23.5,58.8
"220","CA","Mariposa County",9.6,26.5,40.4,23.4
"221","CA","Mendocino County",13.1,25.8,36.5,24.7
"222","CA","Merced County",30.6,25.8,29.6,14
"223","CA","Modoc County",14.4,32.3,37.4,15.9
"224","CA","Mono County",11.3,22.8,35.3,30.6
"225","CA","Monterey County",28.7,20.4,26.4,24.5
"226","CA","Napa County",14.9,18,32.2,34.9
"227","CA","Nevada County",5.8,18.4,39.2,36.6
"228","CA","Orange County",14.9,17.1,28.1,39.9
"229","CA","Placer County",5.4,18.2,37.8,38.6
"230","CA","Plumas County",6.1,25.2,45.2,23.5
"231","CA","Riverside County",18.3,26.9,33,21.8
"232","CA","Sacramento County",12.6,22.3,34.6,30.4
"233","CA","San Benito County",20.1,24.8,35.4,19.7
"234","CA","San Bernardino County",20.5,26.5,32.8,20.3
"235","CA","San Diego County",12.9,18.4,30.6,38.1
"236","CA","San Francisco County",11.5,12.3,19.1,57.1
"237","CA","San Joaquin County",21.1,28.2,32.2,18.4
"238","CA","San Luis Obispo County",9.1,19.8,36.4,34.6
"239","CA","San Mateo County",10.8,15,24.2,49.9
"240","CA","Santa Barbara County",19,17.9,29.2,33.8
"241","CA","Santa Clara County",11.9,14.5,22.3,51.3
"242","CA","Santa Cruz County",13.6,15.8,30.6,40
"243","CA","Shasta County",9.2,24.8,43.8,22.2
"244","CA","Sierra County",6.7,26.6,48,18.7
"245","CA","Siskiyou County",10,25.5,41.9,22.5
"246","CA","Solano County",12,23.3,38.5,26.2
"247","CA","Sonoma County",12,18.8,34.4,34.9
"248","CA","Stanislaus County",21.7,28.6,32.8,16.9
"249","CA","Sutter County",22,23.9,36.4,17.7
"250","CA","Tehama County",15.6,30.7,38.2,15.5
"251","CA","Trinity County",9.4,33.4,37.6,19.7
"252","CA","Tulare County",30.2,26,29.5,14.3
"253","CA","Tuolumne County",9.6,28.4,42,20
"254","CA","Ventura County",15.6,18.9,32.4,33.1
"255","CA","Yolo County",13.6,18.5,26.3,41.6
"256","CA","Yuba County",18,23.1,42.3,16.7
"257","CO","Colorado",8.6,21.4,29.8,40.1
"258","CO","Adams County",17,28.4,31,23.6
"259","CO","Alamosa County",13.5,27.3,33.1,26.1
"260","CO","Arapahoe County",7.6,20.7,29.5,42.2
"261","CO","Archuleta County",8,21.5,31.7,38.9
"262","CO","Baca County",15.2,27.3,35.3,22.1
"263","CO","Bent County",14.2,48.6,24.7,12.4
"264","CO","Boulder County",4.9,12.3,22,60.8
"265","CO","Broomfield County",3.2,14.7,26.7,55.5
"266","CO","Chaffee County",7.1,26.7,32.6,33.5
"267","CO","Cheyenne County",9.9,36.4,33.8,20
"268","CO","Clear Creek County",1.7,20.9,30.9,46.5
"269","CO","Conejos County",13.4,32.4,34,20.2
"270","CO","Costilla County",21.5,23.8,35.6,19.1
"271","CO","Crowley County",15.2,41.7,33.5,9.6
"272","CO","Custer County",7,21,35.1,36.9
"273","CO","Delta County",9.6,38.2,31,21.2
"274","CO","Denver County",12.9,17,22.2,47.9
"275","CO","Dolores County",8.2,38.3,32.2,21.3
"276","CO","Douglas County",2,12.2,27.9,57.9
"277","CO","Eagle County",10.7,15.7,25.4,48.1
"278","CO","Elbert County",3.3,24.6,36.2,35.9
"279","CO","El Paso County",6.3,20.2,35.6,37.9
"280","CO","Fremont County",9.7,39.8,32.3,18.2
"281","CO","Garfield County",12.2,28.5,29.2,30
"282","CO","Gilpin County",2.4,22,36.8,38.7
"283","CO","Grand County",4.5,26.5,31.2,37.8
"284","CO","Gunnison County",2.8,16,25.9,55.3
"285","CO","Hinsdale County",6.2,25.7,24.3,43.9
"286","CO","Huerfano County",8.5,28.7,41.3,21.4
"287","CO","Jackson County",12.4,29.6,41.1,16.8
"288","CO","Jefferson County",5.6,20.6,29.7,44.1
"289","CO","Kiowa County",4.1,38,36.5,21.5
"290","CO","Kit Carson County",11.5,37.7,31.8,18.9
"291","CO","Lake County",14.5,27.1,24.4,34
"292","CO","La Plata County",5,20.3,30.8,43.9
"293","CO","Larimer County",4.2,19.2,30.2,46.3
"294","CO","Las Animas County",12.2,28.8,39.3,19.7
"295","CO","Lincoln County",9.7,53.1,24.4,12.8
"296","CO","Logan County",10.5,32.7,36.3,20.5
"297","CO","Mesa County",9.9,27.3,35.4,27.4
"298","CO","Mineral County",3.2,19.3,37.6,39.9
"299","CO","Moffat County",9.1,40.4,33.5,17.1
"300","CO","Montezuma County",10.5,29.4,31.5,28.6
"301","CO","Montrose County",11.2,31.8,33.1,23.9
"302","CO","Morgan County",19.9,31.1,31.4,17.6
"303","CO","Otero County",14.6,29.2,38.4,17.7
"304","CO","Ouray County",1.6,18.2,31.6,48.6
"305","CO","Park County",3,29.9,36.9,30.2
"306","CO","Phillips County",11.8,27.6,35.1,25.5
"307","CO","Pitkin County",3.7,14.8,18.4,63.1
"308","CO","Prowers County",17.9,25.9,38.8,17.4
"309","CO","Pueblo County",10.6,28.7,38.8,22
"310","CO","Rio Blanco County",7.2,33.7,38.8,20.2
"311","CO","Rio Grande County",15.7,30.2,30.4,23.7
"312","CO","Routt County",3.2,19.7,26.6,50.4
"313","CO","Saguache County",19.6,29.8,27.8,22.9
"314","CO","San Juan County",7.1,26.7,31.7,34.5
"315","CO","San Miguel County",5,15.2,23.2,56.7
"316","CO","Sedgwick County",9.9,30,39.3,20.8
"317","CO","Summit County",6.7,19,23.3,51
"318","CO","Teller County",4.2,25.5,36.2,34
"319","CO","Washington County",7.5,32,44.3,16.2
"320","CO","Weld County",11.9,27.5,33.8,26.7
"321","CO","Yuma County",11.9,33.5,32.5,22.1
"322","CT","Connecticut",9.5,27.1,24.5,38.9
"323","CT","Fairfield County",10.1,21.7,20.9,47.4
"324","CT","Hartford County",10.5,26.9,24.9,37.8
"325","CT","Litchfield County",7.4,29.7,27.8,35.1
"326","CT","Middlesex County",5.8,26.1,26.6,41.5
"327","CT","New Haven County",9.9,30.9,24.3,34.9
"328","CT","New London County",8.1,29.8,28.8,33.3
"329","CT","Tolland County",5.4,27.5,25.9,41.2
"330","CT","Windham County",11.4,33,31.5,24.1
"331","DE","Delaware",10.2,31.6,26.8,31.4
"332","DE","Kent County",12.9,33.2,30.4,23.6
"333","DE","New Castle County",8.5,30.6,25,35.9
"334","DE","Sussex County",12.3,32.8,28.4,26.5
"335","DC","District of Columbia",9.4,17.2,15.9,57.6
"336","DC","District of Columbia",9.4,17.2,15.9,57.6
"337","FL","Florida",12,28.8,30,29.2
"338","FL","Alachua County",7.6,21.7,28.1,42.5
"339","FL","Baker County",15.5,42.8,28.4,13.4
"340","FL","Bay County",9.7,31.4,36.1,22.8
"341","FL","Bradford County",21.7,39.7,28,10.6
"342","FL","Brevard County",8,28.6,34.1,29.3
"343","FL","Broward County",11.2,27.4,29.5,31.9
"344","FL","Calhoun County",21.9,41.9,26.3,9.9
"345","FL","Charlotte County",9.7,33.8,33.3,23.2
"346","FL","Citrus County",11.9,38.3,32.1,17.6
"347","FL","Clay County",8.9,31.6,35.5,24.1
"348","FL","Collier County",13.6,25.4,24.8,36.2
"349","FL","Columbia County",13.3,36.1,35,15.6
"350","FL","DeSoto County",27.3,43.1,18.1,11.4
"351","FL","Dixie County",20.7,44.7,25.2,9.4
"352","FL","Duval County",10.5,27.9,32.5,29.2
"353","FL","Escambia County",9.2,27.3,37.1,26.4
"354","FL","Flagler County",8,33.9,33.7,24.4
"355","FL","Franklin County",19.7,35.7,27.4,17.1
"356","FL","Gadsden County",20.7,36.6,26.1,16.7
"357","FL","Gilchrist County",14.1,42.2,29.6,14.2
"358","FL","Glades County",24.4,40.6,25.1,9.9
"359","FL","Gulf County",15.1,37.3,29.9,17.7
"360","FL","Hamilton County",23.9,44,22.8,9.3
"361","FL","Hardee County",24.2,47.9,17.4,10.4
"362","FL","Hendry County",34.3,34.8,22.7,8.2
"363","FL","Hernando County",12.6,36.4,33.5,17.5
"364","FL","Highlands County",15.3,38,29.8,17
"365","FL","Hillsborough County",11.6,27.1,28.6,32.7
"366","FL","Holmes County",22.6,39,28.1,10.3
"367","FL","Indian River County",11.3,29.7,30.6,28.3
"368","FL","Jackson County",19.3,37.4,29.8,13.4
"369","FL","Jefferson County",17.9,33.3,26.7,22
"370","FL","Lafayette County",23.9,40.8,19.6,15.8
"371","FL","Lake County",10.7,32.9,33.7,22.7
"372","FL","Lee County",12,30.8,29.4,27.8
"373","FL","Leon County",6.4,19.1,28.8,45.7
"374","FL","Levy County",15.7,41.1,30.5,12.6
"375","FL","Liberty County",18.6,47.9,20.8,12.7
"376","FL","Madison County",19.3,38.1,28.8,13.8
"377","FL","Manatee County",10.8,30.4,29.5,29.3
"378","FL","Marion County",12.7,37.5,30.5,19.4
"379","FL","Martin County",9.5,25.2,32.4,33
"380","FL","Miami-Dade County",18.5,27.7,24.9,28.8
"381","FL","Monroe County",8.7,27.3,30.7,33.3
"382","FL","Nassau County",8.6,32.7,30.4,28.2
"383","FL","Okaloosa County",8.2,24.7,36.5,30.6
"384","FL","Okeechobee County",25,38.4,25.2,11.4
"385","FL","Orange County",11.5,24.5,30.1,33.8
"386","FL","Osceola County",13.2,31.9,34.3,20.5
"387","FL","Palm Beach County",11.8,24.5,28,35.7
"388","FL","Pasco County",11,33.1,32.5,23.4
"389","FL","Pinellas County",8.9,28.3,31.9,31
"390","FL","Polk County",15.2,35.4,29.4,20
"391","FL","Putnam County",19.1,40.7,27.8,12.4
"392","FL","St. Johns County",5.4,21.4,29.4,43.7
"393","FL","St. Lucie County",13.9,33.7,32.1,20.3
"394","FL","Santa Rosa County",8.4,27.2,36.3,28.1
"395","FL","Sarasota County",7.2,29.1,29.1,34.7
"396","FL","Seminole County",5.7,21.7,34.3,38.2
"397","FL","Sumter County",8.4,30.2,30.2,31.1
"398","FL","Suwannee County",18.5,39.3,27.5,14.7
"399","FL","Taylor County",22.6,43.3,26.8,7.4
"400","FL","Union County",23.1,37.9,30.7,8.3
"401","FL","Volusia County",10,32.2,34.2,23.6
"402","FL","Wakulla County",12.1,35.9,33.6,18.4
"403","FL","Walton County",11.5,27.6,32.5,28.4
"404","FL","Washington County",18.8,41.5,28,11.7
"405","GA","Georgia",13.3,27.9,28.2,30.7
"406","GA","Appling County",25.5,38.3,26.5,9.7
"407","GA","Atkinson County",30.9,40.3,18.9,9.9
"408","GA","Bacon County",18.5,41.9,29.6,10.1
"409","GA","Baker County",21.7,38.9,27.1,12.3
"410","GA","Baldwin County",15.6,36.4,27.1,20.9
"411","GA","Banks County",22.9,40.6,23.6,12.8
"412","GA","Barrow County",17,34.4,31.1,17.6
"413","GA","Bartow County",17,33,30.6,19.5
"414","GA","Ben Hill County",17.3,44.2,26.4,12
"415","GA","Berrien County",21.9,42.3,23.9,11.8
"416","GA","Bibb County",14.3,31.6,28.5,25.7
"417","GA","Bleckley County",12.4,41.7,28.7,17.2
"418","GA","Brantley County",20,46.6,25.2,8.2
"419","GA","Brooks County",17.2,38.1,29.5,15.2
"420","GA","Bryan County",8.1,25.6,33.8,32.6
"421","GA","Bulloch County",13.1,27.3,32.2,27.4
"422","GA","Burke County",20.8,37.4,29.1,12.6
"423","GA","Butts County",20.8,44,23.8,11.4
"424","GA","Calhoun County",25.7,39.3,25.7,9.4
"425","GA","Camden County",8.2,31.5,35.8,24.5
"426","GA","Candler County",23.4,36.1,26.4,14.1
"427","GA","Carroll County",16.3,33.2,30,20.6
"428","GA","Catoosa County",12.6,32.4,34.3,20.8
"429","GA","Charlton County",26.7,39.1,23.7,10.5
"430","GA","Chatham County",10.4,24.3,32.1,33.2
"431","GA","Chattahoochee County",7.2,25.9,33.6,33.4
"432","GA","Chattooga County",26.9,38.7,24.5,9.8
"433","GA","Cherokee County",8.6,22.8,31.6,37
"434","GA","Clarke County",12.9,21.1,23.3,42.7
"435","GA","Clay County",20.2,42.3,29.5,7.9
"436","GA","Clayton County",15.3,32.9,32.3,19.5
"437","GA","Clinch County",29.2,31.7,28,11.1
"438","GA","Cobb County",8.2,18.7,26.6,46.5
"439","GA","Coffee County",22.6,38.6,25.6,13.2
"440","GA","Colquitt County",26.2,39.4,22,12.5
"441","GA","Columbia County",7.4,24.9,32.6,35.1
"442","GA","Cook County",20.1,34.4,30,15.5
"443","GA","Coweta County",11.2,28.6,30.3,29.8
"444","GA","Crawford County",16.5,39.4,33.8,10.3
"445","GA","Crisp County",19.9,39.1,27.3,13.7
"446","GA","Dade County",20.9,35.8,29.5,13.9
"447","GA","Dawson County",14,28.6,27.1,30.4
"448","GA","Decatur County",18.4,36.1,30.9,14.6
"449","GA","DeKalb County",11,20.8,24.8,43.4
"450","GA","Dodge County",16.8,42.3,27.3,13.7
"451","GA","Dooly County",24.8,39.6,24.3,11.3
"452","GA","Dougherty County",17.5,29,32.1,21.4
"453","GA","Douglas County",12,30.7,30.1,27.1
"454","GA","Early County",19.9,36,28.5,15.6
"455","GA","Echols County",28.5,38.2,24.5,8.8
"456","GA","Effingham County",12,37.8,30.1,20.1
"457","GA","Elbert County",22.6,43.1,23.5,10.8
"458","GA","Emanuel County",20.8,42.9,23.9,12.4
"459","GA","Evans County",25.7,37.5,21.4,15.5
"460","GA","Fannin County",13.3,34.3,31.2,21.3
"461","GA","Fayette County",5.2,20.7,27.5,46.5
"462","GA","Floyd County",19,33.1,27.5,20.4
"463","GA","Forsyth County",7.2,16.6,24.5,51.7
"464","GA","Franklin County",20,40.1,26.3,13.5
"465","GA","Fulton County",7.9,18.3,22.4,51.4
"466","GA","Gilmer County",18.1,36.4,25.4,20
"467","GA","Glascock County",22.6,42.1,26.2,9
"468","GA","Glynn County",12.1,27,31.3,29.6
"469","GA","Gordon County",22.3,35.2,28.1,14.4
"470","GA","Grady County",19.7,37.8,28.3,14.1
"471","GA","Greene County",16.8,33.6,23.7,25.8
"472","GA","Gwinnett County",12.3,22.8,28.8,36.1
"473","GA","Habersham County",21.8,33.7,25.8,18.7
"474","GA","Hall County",21.6,27.5,26.9,24
"475","GA","Hancock County",28.5,42.9,19.8,8.8
"476","GA","Haralson County",19.3,36.6,30.1,14
"477","GA","Harris County",9.2,23.5,37.4,29.9
"478","GA","Hart County",19.6,36.7,28.6,15.1
"479","GA","Heard County",20.7,43.5,26,9.8
"480","GA","Henry County",9.6,31.1,31,28.3
"481","GA","Houston County",9.1,27.2,36.4,27.3
"482","GA","Irwin County",18.4,40.6,26.7,14.3
"483","GA","Jackson County",16.3,32.3,30.4,21
"484","GA","Jasper County",21.4,38.9,28.9,10.8
"485","GA","Jeff Davis County",22.3,40.4,27.3,10
"486","GA","Jefferson County",24.9,41.3,22.8,11
"487","GA","Jenkins County",20.7,40.5,29.5,9.3
"488","GA","Johnson County",22.8,44,22.8,10.4
"489","GA","Jones County",12.6,36.7,30.6,20.1
"490","GA","Lamar County",13.3,40.1,29.5,17.1
"491","GA","Lanier County",20.6,35.7,27.3,16.4
"492","GA","Laurens County",14.9,43.4,26.2,15.6
"493","GA","Lee County",9.4,30.8,34.2,25.6
"494","GA","Liberty County",9.1,32,40.6,18.3
"495","GA","Lincoln County",17.6,41.4,27.6,13.5
"496","GA","Long County",14.8,31.5,38.1,15.5
"497","GA","Lowndes County",14.9,30,29.6,25.6
"498","GA","Lumpkin County",16.3,29.2,28.3,26.2
"499","GA","McDuffie County",17.8,40.5,27.9,13.7
"500","GA","McIntosh County",13.7,38.1,32.6,15.6
"501","GA","Macon County",27.2,34.1,30.1,8.6
"502","GA","Madison County",16.7,38,27.2,18
"503","GA","Marion County",23.1,38.1,25.8,13.1
"504","GA","Meriwether County",20.9,38.9,28.8,11.5
"505","GA","Miller County",17.7,38.1,31.9,12.3
"506","GA","Mitchell County",25.3,38.2,25.5,11.1
"507","GA","Monroe County",15,33.9,24.8,26.3
"508","GA","Montgomery County",18.3,39,28.5,14.1
"509","GA","Morgan County",13.5,34.8,30.9,20.8
"510","GA","Murray County",30.7,37.8,22.2,9.4
"511","GA","Muscogee County",12.7,27.3,33.9,26.2
"512","GA","Newton County",14.2,33.6,32.6,19.6
"513","GA","Oconee County",5.5,19.6,23.7,51.1
"514","GA","Oglethorpe County",20.6,36.6,25.8,16.9
"515","GA","Paulding County",9.9,33.1,32.8,24.1
"516","GA","Peach County",16,29,35.5,19.4
"517","GA","Pickens County",15.1,29.1,32.1,23.7
"518","GA","Pierce County",16.3,44,27.7,11.9
"519","GA","Pike County",13,40.9,30.1,15.9
"520","GA","Polk County",20.9,39.6,27.3,12.2
"521","GA","Pulaski County",19.6,37.5,30.5,12.4
"522","GA","Putnam County",14.6,37.5,25.7,22.2
"523","GA","Quitman County",32.4,34.3,24.2,9.1
"524","GA","Rabun County",15.8,34,25.4,24.8
"525","GA","Randolph County",24.2,37.2,27,11.7
"526","GA","Richmond County",16.6,30.7,31.3,21.3
"527","GA","Rockdale County",11.8,31.5,30.2,26.5
"528","GA","Schley County",15.7,35.3,36.1,12.9
"529","GA","Screven County",16.9,42.7,26.2,14.2
"530","GA","Seminole County",14.5,39.6,31.5,14.4
"531","GA","Spalding County",18.1,39.4,26.1,16.4
"532","GA","Stephens County",16.5,36.7,24.6,22.1
"533","GA","Stewart County",28.4,42.2,18.2,11.2
"534","GA","Sumter County",19.3,33.2,28.8,18.6
"535","GA","Talbot County",19.5,44.3,24.1,12
"536","GA","Taliaferro County",28.8,47.8,16.4,7
"537","GA","Tattnall County",24.6,39.1,23.2,13.2
"538","GA","Taylor County",21.8,37.5,29.5,11.2
"539","GA","Telfair County",29.7,45.9,16.1,8.4
"540","GA","Terrell County",23.4,31.9,32.4,12.3
"541","GA","Thomas County",17.4,30.9,28.7,23.1
"542","GA","Tift County",18.2,34.5,30.8,16.5
"543","GA","Toombs County",19.1,38.5,26.6,15.8
"544","GA","Towns County",10.8,30.8,32.2,26.2
"545","GA","Treutlen County",25.5,38.9,21.9,13.6
"546","GA","Troup County",17.1,34.3,30.1,18.5
"547","GA","Turner County",17.6,40.4,29.5,12.5
"548","GA","Twiggs County",29.2,37.6,23.8,9.4
"549","GA","Union County",11.1,34.2,32.3,22.4
"550","GA","Upson County",20.1,35.9,30.3,13.7
"551","GA","Walker County",18.1,36.2,29.7,15.9
"552","GA","Walton County",12.7,37.8,29.6,19.9
"553","GA","Ware County",17.1,40.9,28.2,13.9
"554","GA","Warren County",26.5,42.4,17.7,13.4
"555","GA","Washington County",19.8,42.5,23.7,14
"556","GA","Wayne County",18.1,40.6,28.5,12.9
"557","GA","Webster County",22.5,44.8,21,11.7
"558","GA","Wheeler County",22,48.7,16.4,12.8
"559","GA","White County",14.9,31.6,32.1,21.4
"560","GA","Whitfield County",30.6,28.9,24.7,15.7
"561","GA","Wilcox County",17.7,48.4,22.5,11.4
"562","GA","Wilkes County",19.5,44.8,23.1,12.6
"563","GA","Wilkinson County",15.5,52.3,21.6,10.6
"564","GA","Worth County",18.7,41.8,29.1,10.4
"565","HI","Hawaii",8.2,27.7,31.7,32.5
"566","HI","Hawaii County",7.6,30.4,32.5,29.5
"567","HI","Honolulu County",8.3,26.2,31.1,34.3
"568","HI","Kalawao County",13,27.5,34.8,24.6
"569","HI","Kauai County",8.2,30.1,32.2,29.5
"570","HI","Maui County",8,31.8,33.6,26.6
"571","ID","Idaho",9.4,27.7,35.9,26.9
"572","ID","Ada County",4.9,23,34.4,37.8
"573","ID","Adams County",10.4,37.7,32.9,19.1
"574","ID","Bannock County",8.1,26.5,38.2,27.2
"575","ID","Bear Lake County",6.2,38.8,34.7,20.3
"576","ID","Benewah County",11.7,38.9,34.2,15.1
"577","ID","Bingham County",12.5,30,36.8,20.7
"578","ID","Blaine County",11.6,22.1,28.1,38.2
"579","ID","Boise County",6.3,27.4,39.2,27.2
"580","ID","Bonner County",9.2,30.5,37.3,23.1
"581","ID","Bonneville County",8.3,26.1,35.5,30.1
"582","ID","Boundary County",8,41.1,31.9,19
"583","ID","Butte County",5,36.9,40,18.2
"584","ID","Camas County",6.4,38,36.1,19.5
"585","ID","Canyon County",15.4,32,34.3,18.3
"586","ID","Caribou County",7.8,32.6,39.8,19.9
"587","ID","Cassia County",17.5,29.9,33.9,18.6
"588","ID","Clark County",39.2,23.6,21.6,15.5
"589","ID","Clearwater County",10.5,34.8,37.8,16.9
"590","ID","Custer County",10.6,29.8,36.5,23
"591","ID","Elmore County",10.6,28,44.9,16.4
"592","ID","Franklin County",8.8,36.3,36.8,18.1
"593","ID","Fremont County",12.3,32,34.8,20.9
"594","ID","Gem County",12.1,39.2,33.9,14.8
"595","ID","Gooding County",20.2,37.2,27.4,15.2
"596","ID","Idaho County",9.4,35.1,35.3,20.2
"597","ID","Jefferson County",10.9,27.7,38.8,22.6
"598","ID","Jerome County",22.3,32.7,30.1,14.9
"599","ID","Kootenai County",7.5,27.1,40.4,24.9
"600","ID","Latah County",3.7,19.9,31.3,45.1
"601","ID","Lemhi County",7.8,32,39.1,21.1
"602","ID","Lewis County",11.5,29.4,41.8,17.3
"603","ID","Lincoln County",20.6,34.6,34.7,10.1
"604","ID","Madison County",4.1,15.7,43.9,36.4
"605","ID","Minidoka County",21.6,29.6,35.5,13.4
"606","ID","Nez Perce County",7.7,32.9,37.5,21.9
"607","ID","Oneida County",9,37,38.5,15.5
"608","ID","Owyhee County",25,34.3,29.5,11.2
"609","ID","Payette County",15,33.7,37.1,14.2
"610","ID","Power County",19.1,33.9,31,15.9
"611","ID","Shoshone County",14.4,38.5,35.5,11.6
"612","ID","Teton County",7.1,16.2,35.2,41.5
"613","ID","Twin Falls County",12.2,27.9,39.3,20.6
"614","ID","Valley County",5.4,29.9,34.7,30.1
"615","ID","Washington County",14.1,36.5,34.6,14.8
"616","IL","Illinois",11.1,26.1,28.7,34.1
